Country,Year,Energy,Industrial_Processes_and_Product_Use,Agriculture,LULUCF,Waste_management,Other_Sector,Total (with LULUCF),ind_CO2 - Indirect CO2
Denmark,2004-01-01,26874.564004999997,673.8123677777778,2968.203445,2937.93623,330.275145,0.0,15545.15696,699.0930099999999
Denmark,2005-01-01,25056.750122499998,612.9767844444445,2937.1161625000004,2898.2490675,327.72209499999997,0.0,14637.238517777778,669.5029099999999
Denmark,2006-01-01,29015.396745,625.5958644444445,2854.1224024999997,2986.9626825,342.95025000000004,0.0,16409.493834444445,628.6767
Denmark,2007-01-01,26611.445635,633.1965455555556,2910.01331,1760.8508649999997,339.91803749999997,0.0,14817.90327111111,586.72456
Denmark,2008-01-01,25017.430722499998,565.5642644444443,2918.9143824999996,-505.180895,333.59459999999996,0.0,13029.950902222221,560.22226
Denmark,2009-01-01,24036.954455000003,471.0461844444445,2854.4555325,1580.340575,322.550385,0.0,13379.364459999997,498.83034000000004
Denmark,2010-01-01,24268.02624,422.43915777777784,2830.4681699999996,197.803225,302.1196925,0.0,12795.518423333335,482.02205999999995
Denmark,2011-01-01,21660.28647,453.81330333333335,2829.8250325,-569.4678925,298.63932750000004,0.0,11310.346202222223,415.83217
Denmark,2012-01-01,19431.646247499997,461.4678411111111,2835.6520275,264.264915,288.49809999999997,0.0,10687.707869999998,377.95755
Denmark,2013-01-01,20346.9756075,453.4073877777777,2849.4352900000004,880.41849,282.7987675,0.0,11358.145196666666,352.06383
Denmark,2014-01-01,18224.0051825,444.01590888888893,2879.5211400000003,712.31734,282.2248275,0.0,10336.96844111111,322.14941
Denmark,2015-01-01,17074.790905,404.61973222222224,2835.50645,2500.2273200000004,277.76298249999996,0.0,10556.939354444443,308.86298999999997
Denmark,2016-01-01,17878.991294999996,450.97224444444447,2890.0372875000003,3002.7214324999995,287.53718000000003,0.0,11210.19775777778,297.94042
Denmark,2017-01-01,16690.7564275,447.31207888888883,2905.7823350000003,2162.272455,293.901295,0.0,10313.599216666666,292.86708
Denmark,2018-01-01,16665.831105,451.6561755555556,2885.2936600000003,3214.2095325000005,299.18158000000005,0.0,10765.006681111112,281.04552
EU (KP),1990-01-01,2120757.3512225,101680.32861111111,143622.98167749998,-129106.12333,63847.5891675,0.0,1080003.2112444444,4209.37437
